จังหวัด,เนื้อที่เพาะปลูก(ไร่),เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิต(ตัน),ผลผลิต/เนื้อที่เก็บเกี่ยว (ก.ก.)
กาฬสินธุ์,"1,510,293","1,464,902","549,215",374.92
ขอนแก่น,"2,399,044","2,093,264","709,266",338.83
ชัยภูมิ,"1,835,990","1,535,979","586,449",381.81
นครพนม,"1,479,789","1,473,189","524,374",355.94
นครราชสีมา,"3,587,839","3,168,807","1,170,848",369.49
บึงกาฬ,"488,370","485,152","156,476",322.53
บุรีรัมย์,"2,997,490","2,922,591","1,067,377",365.22
มหาสารคาม,"2,126,180","1,988,590","723,924",364.04
มุกดาหาร,"462,639","457,517","185,140",404.66
ยโสธร,"1,367,528","1,294,484","482,904",373.05
ร้อยเอ็ด,"3,099,731","2,948,708","1,032,874",350.28
ศรีสะเกษ,"3,020,397","2,913,568","1,027,039",352.5
สกลนคร,"2,186,246","2,171,538","755,038",347.7
สุรินทร์,"3,119,992","3,037,186","1,149,188",378.37
หนองคาย,"605,715","602,435","222,565",369.44
หนองบัวลำภู,"730,844","723,833","261,424",361.17
อำนาจเจริญ,"1,074,427","1,067,209","383,946",359.77
อุดรธานี,"2,068,940","2,036,022","749,650",368.19
อุบลราชธานี,"4,086,172","4,026,767","1,436,095",356.64
เลย,"436,459","431,224","155,507",360.62
